implementation,shape_type,m,n,q,p,total_ops,avg_seconds,avg_speedup,avg_serial_speedup,avg_cost,sample_count
Implementation 1 (Serial),m_dominant,3000,2400,2400,9,34560000000,53.982665000,1.000000,1.000000,53.982665000,1
Implementation 1 (Serial),m_dominant,3000,2400,2400,16,34560000000,53.982665000,1.000000,1.000000,53.982665000,1
Implementation 1 (Serial),m_dominant,3000,2400,2400,25,34560000000,53.982665000,1.000000,1.000000,53.982665000,1
Implementation 1 (Serial),m_dominant,3600,600,600,1,2592000000,1.632563000,1.000000,1.000000,1.632563000,1
Implementation 1 (Serial),m_dominant,3600,600,600,4,2592000000,1.632563000,1.000000,1.000000,1.632563000,1
Implementation 1 (Serial),m_dominant,3600,600,600,9,2592000000,1.632563000,1.000000,1.000000,1.632563000,1
Implementation 1 (Serial),m_dominant,3600,600,600,16,2592000000,1.632563000,1.000000,1.000000,1.632563000,1
Implementation 1 (Serial),m_dominant,3600,600,600,25,2592000000,1.632563000,1.000000,1.000000,1.632563000,1
Implementation 1 (Serial),m_dominant,3600,600,1200,1,5184000000,3.295446000,1.000000,1.000000,3.295446000,1
Implementation 1 (Serial),m_dominant,3600,600,1200,4,5184000000,3.295446000,1.000000,1.000000,3.295446000,1
Implementation 1 (Serial),m_dominant,3600,600,1200,9,5184000000,3.295446000,1.000000,1.000000,3.295446000,1
Implementation 1 (Serial),m_dominant,3600,600,1200,16,5184000000,3.295446000,1.000000,1.000000,3.295446000,1
Implementation 1 (Serial),m_dominant,3600,600,1200,25,5184000000,3.295446000,1.000000,1.000000,3.295446000,1
Implementation 1 (Serial),m_dominant,3600,600,1800,1,7776000000,4.835664000,1.000000,1.000000,4.835664000,1
Implementation 1 (Serial),m_dominant,3600,600,1800,4,7776000000,4.835664000,1.000000,1.000000,4.835664000,1
Implementation 1 (Serial),m_dominant,3600,600,1800,9,7776000000,4.835664000,1.000000,1.000000,4.835664000,1
Implementation 1 (Serial),m_dominant,3600,600,1800,16,7776000000,4.835664000,1.000000,1.000000,4.835664000,1
Implementation 1 (Serial),m_dominant,3600,600,1800,25,7776000000,4.835664000,1.000000,1.000000,4.835664000,1
Implementation 1 (Serial),m_dominant,3600,600,2400,1,10368000000,7.073279000,1.000000,1.000000,7.073279000,1
Implementation 1 (Serial),m_dominant,3600,600,2400,4,10368000000,7.073279000,1.000000,1.000000,7.073279000,1
Implementation 1 (Serial),m_dominant,3600,600,2400,9,10368000000,7.073279000,1.000000,1.000000,7.073279000,1
Implementation 1 (Serial),m_dominant,3600,600,2400,16,10368000000,7.073279000,1.000000,1.000000,7.073279000,1
Implementation 1 (Serial),m_dominant,3600,600,2400,25,10368000000,7.073279000,1.000000,1.000000,7.073279000,1
Implementation 1 (Serial),m_dominant,3600,600,3000,1,12960000000,7.946486000,1.000000,1.000000,7.946486000,1
Implementation 1 (Serial),m_dominant,3600,600,3000,4,12960000000,7.946486000,1.000000,1.000000,7.946486000,1
Implementation 1 (Serial),m_dominant,3600,600,3000,9,12960000000,7.946486000,1.000000,1.000000,7.946486000,1
Implementation 1 (Serial),m_dominant,3600,600,3000,16,12960000000,7.946486000,1.000000,1.000000,7.946486000,1
Implementation 1 (Serial),m_dominant,3600,600,3000,25,12960000000,7.946486000,1.000000,1.000000,7.946486000,1
Implementation 1 (Serial),m_dominant,3600,1200,600,1,5184000000,3.332447000,1.000000,1.000000,3.332447000,1
Implementation 1 (Serial),m_dominant,3600,1200,600,4,5184000000,3.332447000,1.000000,1.000000,3.332447000,1
Implementation 1 (Serial),m_dominant,3600,1200,600,9,5184000000,3.332447000,1.000000,1.000000,3.332447000,1
Implementation 1 (Serial),m_dominant,3600,1200,600,16,5184000000,3.332447000,1.000000,1.000000,3.332447000,1
Implementation 1 (Serial),m_dominant,3600,1200,600,25,5184000000,3.332447000,1.000000,1.000000,3.332447000,1
Implementation 1 (Serial),m_dominant,3600,1200,1200,1,10368000000,6.606034000,1.000000,1.000000,6.606034000,1
Implementation 1 (Serial),m_dominant,3600,1200,1200,4,10368000000,6.606034000,1.000000,1.000000,6.606034000,1
Implementation 1 (Serial),m_dominant,3600,1200,1200,9,10368000000,6.606034000,1.000000,1.000000,6.606034000,1
Implementation 1 (Serial),m_dominant,3600,1200,1200,16,10368000000,6.606034000,1.000000,1.000000,6.606034000,1
Implementation 1 (Serial),m_dominant,3600,1200,1200,25,10368000000,6.606034000,1.000000,1.000000,6.606034000,1
Implementation 1 (Serial),m_dominant,3600,1200,1800,1,15552000000,10.279092000,1.000000,1.000000,10.279092000,1
Implementation 1 (Serial),m_dominant,3600,1200,1800,4,15552000000,10.279092000,1.000000,1.000000,10.279092000,1
Implementation 1 (Serial),m_dominant,3600,1200,1800,9,15552000000,10.279092000,1.000000,1.000000,10.279092000,1
Implementation 1 (Serial),m_dominant,3600,1200,1800,16,15552000000,10.279092000,1.000000,1.000000,10.279092000,1
